scats_site,location_description,matched_coordinate_description,latitude,longitude
970,WARRIGAL/HIGH ST RD,WARRIGAL RD BTWN HIGHBURY RD & HIGH ST RD,-37.86295309542456,145.09336599505835
2000,BURWOOD HWY/WARRIGAL,BURWOOD HWY BTWN WARRIGAL RD & ELGAR RD,-37.850069004633326,145.1055069035513
2820,CHANDLER HWY/PRINCESS ST,CHANDLER HWY/PRINCESS ST/EARL ST,-37.79347335296576,145.03245713328704
2825,EASTERN/BURKE ON RAMP,BURKE ROAD & EASTERN FWY RAMP,-37.78366040154537,145.06272913827215
2827,EASTERN FWY/BULLEEN/THOMPSONS,BULLEEN RD & EASTERN FWY E BD OFFRAMP & THOMPSONS RD,-37.779558288162605,145.0800900042726
2846,MONASH/HIGH/WILLS,MONASH FWY/HIGH ST/WILLS ST,-37.860092266280176,145.06288460754436
3001,BARKERS/CHURCH/HIGH,BARKERS RD & CHURCH ST & HIGH ST STH,-37.81417062014973,145.03235351125463
3002,BARKERS/DENMARK/POWER,BARKERS RD & DENMARK ST & POWER ST,-37.81296989905617,145.02800850195243
3120,BURKE/CANTERBURY,BURKE RD & CANTERBURY RD,-37.82088209519407,145.05868986309048
3122,CANTERBURY/STANHOPE,STANHOPE GR 20M BEFORE CANTERBURY RD,-37.822501591869354,145.0656630696271
3126,CANTERBURY/WARRIGAL,CANTERBURY RD/WARRIGAL RD,-37.826983935487526,145.10641001280544
3127,CANTERBURY/BALWYN,CANTERBURY RD/BALWYN RD,-37.823552500944245,145.07930002607608
3180,DONCASTER/BALWYN,DONCASTER RD BTWN BULLEEN RD & BALWYN RD,-37.7927783316194,145.07141462446677
3662,HIGH/DENMARK/PRINCESS/S'PARK,DENMARK ST & HIGH ST & PRINCESS ST & STUDLEY PARK RD,-37.80715319626351,145.02887561998244
3682,WARRIGAL/RIVERSDALE,RIVERSDALE RD BTWN WARRIGAL RD & ELGAR RD,-37.83715647764984,145.1066490997762
3685,WARRIGAL/HIGHBURY,WARRIGAL RD BTWN HIGHBURY RD & HIGH ST RD,-37.86295309542456,145.09336599505835
3804,RIVERSDALE/TRAFALGAR,RIVERSDALE RD BTWN TRAFALGAR RD & HIGHFIELD RD,-37.83372187082698,145.07708649616782
3812,CAMBERWELL/SEYMOUR/TRAFALGAR,CAMBERWELL RD & SEYMOUR GV & TRAFALGAR RD,-37.8360942581776,145.06151091373596
4030,BURKE/DONCASTER/KILBY/HIGH,BURKE RD/DONCASTER RD/KILBY RD/HIGH ST,-37.79252289990112,145.0641662325628
4032,BURKE/BELMORE/HARP,BURKE RD/BELMORE RD/HARP RD,-37.80051269033123,145.0625745527628
4034,BURKE/COTHAM/WHITEHORSE,BURKE RD & COTHAM RD & WHITEHORSE RD,-37.81009100136292,145.0607437839192
4035,BURKE/BARKERS/MONT ALBERT,BURKE RD BTWN BARKERS RD & MONT ALBERT RD,-37.81599940088815,145.05961773052647
4040,BURKE/CAMBERWELL/RIVERSDALE,BURKE RD/CAMBERWELL RD/RIVERSDALE RD,-37.83105280316875,145.0567514645903
4043,BURKE/TOORAK,BURKE RD/TOORAK RD,-37.84532110268213,145.05405078918798
4051,DONCASTER/BULLEEN/SEVERN,DONCASTER RD/BULLEEN RD/SEVERN ST,-37.79235297638304,145.07075437211182
4057,BALWYN/BELMORE,BALWYN RD & BELMORE RD,-37.80353770961768,145.08350529976187
4063,WHITEHORSE/BALWYN,WHITEHORSE RD BTWN UNION RD & BALWYN RD,-37.813641456452714,145.08796691227332
4262,BURWOOD/CHURCH,BURWOOD RD & CHURCH ST & CRESWICK ST,-37.81993446809157,145.01667396702564
4263,BURWOOD/POWER,POWER ST N OF BURWOOD RD DEPARTURE,-37.82134800045757,145.02643136367791
4264,BURWOOD/GLENFERRIE,GLENFERRIE RD BTWN BURWOOD RD & RIVERSDALE RD,-37.824140702119,145.03506737859576
4266,BURWOOD/AUBURN,AUBURN RD 25M BEFORE BURWOOD RD,-37.82347239775674,145.04485182507534
4270,GLENFERRIE/RIVERSDALE,GLENFERRIE RD & RIVERSDALE RD,-37.8293056443892,145.0389311125614
4272,RIVERSDALE/TOORONGA,RIVERSDALE RD E OF TOORONGA RD,-37.83034902291317,145.0479328068683
4273,TOORAK/TOORONGA,TOORAK RD & TOORONGA RD,-37.84514349870008,145.045034606999
4321,HIGH/HARP/VALERIE,HIGH ST/HARP RD/VALERIE ST,-37.799267864743854,145.05076578191938
4324,COTHAM/GLENFERRIE,COTHAM RD BTWN GLENFERRIE RD & BURKE RD,-37.80860182942355,145.04582590763167
4335,HIGH/CHARLES,CHARLES ST & HIGH ST,-37.80473599128761,145.03648548590257
4812,SWAN/MADDEN,SWAN ST BTWN MADDEN GROVE & BURNLEY ST,-37.8272069884065,145.01178559392926
4821,VICTORIA/BURNLEY/WALMER,BURNLEY ST & VICTORIA ST & WALMER ST,-37.81144219648425,145.00977356679155
