source,origin_scats,destination_scats,departure_datetime,model,algorithm,route_number,found,travel_time_minutes,nodes_created,path,message
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,BFS,1,Yes,22.44,39,2000 > 970 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,BFS,2,Yes,22.44,39,2000 > 3685 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,BFS,3,Yes,24.16,39,2000 > 970 > 3804 > 3122 > 4035 > 4324 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,BFS,4,Yes,24.25,39,2000 > 3126 > 3127 > 3120 > 4034 > 4324 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,BFS,5,Yes,24.77,39,2000 > 970 > 2846 > 3812 > 4272 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,DFS,1,Yes,30.87,39,2000 > 3126 > 3127 > 3120 > 4034 > 4032 > 4321 > 2820 > 3662 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,DFS,2,Yes,32.79,39,2000 > 970 > 3804 > 3122 > 3120 > 4034 > 4032 > 4321 > 2820 > 3662 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,DFS,3,Yes,46.16,39,2000 > 970 > 2846 > 3812 > 4040 > 3120 > 3127 > 4063 > 4057 > 3180 > 4030 > 4321 > 2820 > 3662 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,DFS,4,Yes,46.25,39,2000 > 970 > 2846 > 4043 > 4040 > 3120 > 3127 > 4063 > 4057 > 3180 > 4030 > 4321 > 2820 > 3662 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,DFS,5,Yes,49.34,39,2000 > 970 > 2846 > 3812 > 4272 > 4040 > 3120 > 3127 > 4063 > 4057 > 3180 > 4030 > 4321 > 2820 > 3662 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,GBFS,1,Yes,21.76,24,2000 > 3682 > 3127 > 3120 > 4266 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,GBFS,2,Yes,23.08,24,2000 > 3126 > 3127 > 3120 > 4266 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,GBFS,3,Yes,23.28,22,2000 > 3126 > 3127 > 3120 > 4035 > 4324 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,GBFS,4,Yes,23.59,24,2000 > 3126 > 3127 > 3122 > 3120 > 4266 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,GBFS,5,Yes,25.04,25,2000 > 3126 > 4063 > 3122 > 3120 > 4266 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,ASTAR,1,Yes,21.31,39,2000 > 3682 > 3804 > 4040 > 4272 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,ASTAR,2,Yes,21.43,39,2000 > 3682 > 3127 > 3122 > 4035 > 4324 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,ASTAR,3,Yes,21.72,39,2000 > 3682 > 3804 > 4040 > 4272 > 4264 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,ASTAR,4,Yes,22.44,39,2000 > 970 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,ASTAR,5,Yes,22.44,39,2000 > 3685 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS1,1,Yes,22.44,34,2000 > 970 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS1,2,Yes,22.44,34,2000 > 3685 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS1,3,Yes,24.16,35,2000 > 970 > 3804 > 3122 > 4035 > 4324 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS1,4,Yes,24.25,35,2000 > 3126 > 3127 > 3120 > 4034 > 4324 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS1,5,Yes,24.77,36,2000 > 970 > 2846 > 3812 > 4272 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS2,1,Yes,21.31,5227268,2000 > 3682 > 3804 > 4040 > 4272 > 4264 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS2,2,Yes,21.43,3372903,2000 > 3682 > 3127 > 3122 > 4035 > 4324 > 3001 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS2,3,Yes,21.72,7577943,2000 > 3682 > 3804 > 4040 > 4272 > 4264 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS2,4,Yes,22.44,3219012,2000 > 970 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
GUI_ROUTE_SEARCH,2000,3002,2020-10-15 15:00:00,GRU,CUS2,5,Yes,22.44,2261192,2000 > 3685 > 2846 > 4273 > 4270 > 4263 > 3002,Route found.
