scats_site_number,timestamp,traffic_flow
970,2006-10-01 00:00:00,885
970,2006-10-01 01:00:00,539
970,2006-10-01 02:00:00,312
970,2006-10-01 03:00:00,260
970,2006-10-01 04:00:00,218
970,2006-10-01 05:00:00,243
970,2006-10-01 06:00:00,495
970,2006-10-01 07:00:00,712
970,2006-10-01 08:00:00,1129
970,2006-10-01 09:00:00,2076
970,2006-10-01 10:00:00,2883
970,2006-10-01 11:00:00,3383
970,2006-10-01 12:00:00,3755
970,2006-10-01 13:00:00,3503
970,2006-10-01 14:00:00,3421
970,2006-10-01 15:00:00,3236
970,2006-10-01 16:00:00,3473
970,2006-10-01 17:00:00,3558
970,2006-10-01 18:00:00,2606
970,2006-10-01 19:00:00,1805
970,2006-10-01 20:00:00,1328
970,2006-10-01 21:00:00,1314
970,2006-10-01 22:00:00,846
970,2006-10-01 23:00:00,503
970,2006-10-02 00:00:00,242
970,2006-10-02 01:00:00,118
970,2006-10-02 02:00:00,105
970,2006-10-02 03:00:00,85
970,2006-10-02 04:00:00,156
970,2006-10-02 05:00:00,407
970,2006-10-02 06:00:00,1664
970,2006-10-02 07:00:00,4292
970,2006-10-02 08:00:00,4965
970,2006-10-02 09:00:00,3509
970,2006-10-02 10:00:00,3074
970,2006-10-02 11:00:00,3030
970,2006-10-02 12:00:00,3106
970,2006-10-02 13:00:00,3180
970,2006-10-02 14:00:00,3374
970,2006-10-02 15:00:00,3883
970,2006-10-02 16:00:00,4426
970,2006-10-02 17:00:00,4901
970,2006-10-02 18:00:00,3855
970,2006-10-02 19:00:00,2462
970,2006-10-02 20:00:00,1683
970,2006-10-02 21:00:00,1339
970,2006-10-02 22:00:00,978
970,2006-10-02 23:00:00,540
970,2006-10-03 00:00:00,233
970,2006-10-03 01:00:00,130
970,2006-10-03 02:00:00,88
970,2006-10-03 03:00:00,88
970,2006-10-03 04:00:00,144
970,2006-10-03 05:00:00,486
970,2006-10-03 06:00:00,1974
970,2006-10-03 07:00:00,4419
